,title,subhead,author,url,premium,article_type,img_url
0,"         Live  Article se déroulant en direct   Israël veut « frapper tous les sites et les cibles du régime » iranien, Téhéran promet une riposte « plus forte » en cas de nouvelles attaques  ","Le premier ministre israélien, Benyamin Nétanyahou, a affirmé que les attaques menées depuis vendredi matin, et qui ont continué samedi, avaient porté un « coup réel au programme » nucléaire iranien. « La poursuite de l’agression sioniste entraînera une riposte plus forte et plus virulente de la part des forces armées iraniennes », a déclaré de son côté le président iranien, Massoud Pezeshkian.",,https://www.lemonde.fr/international/live/2025/06/14/en-direct-israel-iran-l-etat-hebreu-veut-frapper-tous-les-sites-et-les-cibles-du-regime-iranien-teheran-promet-une-riposte-plus-forte-en-cas-de-nouvelles-attaques_6612642_3210.html,is prenium,,https://img.lemde.fr/2025/06/14/0/0/5472/3648/400/266/75/0/7bb305f_upload-1-nvdhoggsjeyk-861892.jpg
1,"Une élue locale et son mari tués, un autre élu blessé dans le Minnesota, le gouverneur démocrate dénonce un « acte de violence politique »",,,https://www.lemonde.fr/international/live/2025/06/14/en-direct-etats-unis-donald-trump-s-offre-un-defile-militaire-celebrant-le-250e-anniversaire-de-l-armee-americaine-qui-coincide-avec-son-anniversaire_6613038_3210.html,,,https://img.lemde.fr/2025/06/14/0/0/5038/3358/398/265/75/0/f073de4_upload-1-mqkam5nbzkla-862785.jpg
2,"Downey, la « Beverly Hills mexicaine » à l’heure de la chasse aux sans-papiers",,,https://www.lemonde.fr/international/article/2025/06/14/downey-la-beverly-hills-mexicaine-a-l-heure-de-la-chasse-aux-sans-papiers_6613024_3210.html,is prenium,,https://img.lemde.fr/2025/06/14/0/250/4281/2854/398/265/75/0/7fa1fda_upload-1-zniroylnqh7h-carwash.jpg
3,"Dans l’Arctique, un coffre-fort mondial de graines pour pouvoir « recommencer de zéro » en cas de catastrophe planétaire","Depuis 2008, 1,3 million de variétés de semences, issues de 128 pays, ont été déposées dans cette « arche de Noé du végétal », située dans l’archipel norvégien du Svalbard. ",,https://www.lemonde.fr/planete/article/2025/06/14/au-c-ur-de-l-arctique-l-arche-de-noe-du-vegetal-accueille-de-nouvelles-semences_6613047_3244.html,is prenium,,https://img.lemde.fr/2025/06/06/0/0/4500/3000/398/265/75/0/2b6f75a_sirius-fs-upload-1-cl2ea0x559yk-1749228995163-lm-asurp-globalseedvault-svalbard-109850.jpg
4,Le point sur la guerre en Ukraine : Kiev et Moscou annoncent un nouvel échange de prisonniers,"Il s’agit du quatrième échange en une semaine, dans le cadre des accords conclus à Istanbul au début du mois de juin. L’Ukraine a aussi récupéré 1 200 corps de citoyens ukrainiens, dont des militaires, remis par la Russie.",,https://www.lemonde.fr/international/live/2025/06/14/en-direct-guerre-en-ukraine-kiev-et-moscou-annoncent-un-nouvel-echange-de-prisonniers_6611146_3210.html,,,https://img.lemde.fr/2025/06/12/0/70/1078/719/398/265/75/0/f508f9b_ftp-import-images-1-5cvx3wymkc82-2025-06-12t115224z-440895164-rc2z0fa5ions-rtrmadp-3-ukraine-crisis-prisoners.JPG
5,"« Les maladies rares, comme celle de Charcot, n’ont pas de temps d’antenne. Alors, il faut frapper fort »","Olivier Goy, dont la sclérose latérale amyotrophique a été diagnostiquée en 2020, est ambassadeur de l’Institut du cerveau à Paris et le créateur du projet Invincible été. Il raconte, dans un entretien au « Monde », comment il a trouvé la force de « ne pas subir ».",,https://www.lemonde.fr/sciences/article/2025/06/14/les-maladies-rares-comme-celle-de-charcot-n-ont-pas-de-temps-d-antenne-alors-il-faut-frapper-fort_6613044_1650684.html,is prenium,,https://img.lemde.fr/2025/06/12/1026/0/3777/2518/398/265/75/0/36075c4_upload-1-w2knwrty45l2-goy-leban-8.jpg
6,"Ces « fixettes » qui prennent une importance démesurée : « J’ai vécu ce délire tout seul, sans que personne s’en aperçoive »","Fixer son attention sur un sujet de niche peut être une pratique envahissante, elle n’en reste pas moins une forme d’évasion. Contrairement à une passion, qui obnubile le temps d’une vie, la fixette retombe un jour ou l’autre, aussi soudainement qu’elle était arrivée.",,https://www.lemonde.fr/m-perso/article/2025/06/14/extension-du-domaine-de-la-fixette-j-etais-devenu-monomaniaque-de-louis-xvii_6612963_4497916.html,is prenium,Enquête,https://img.lemde.fr/2025/06/10/657/0/3543/2362/664/442/75/0/d500c9f_sirius-fs-upload-1-vk2653hfpzgc-1749542904217-aof-image-01-high-res.jpg
7,Au moins 41 Palestiniens tués par des attaques israéliennes dans la bande de Gaza dans la journée de samedi,,,https://www.lemonde.fr/international/article/2025/06/14/dans-la-bande-de-gaza-au-moins-35-palestiniens-tues-dans-des-attaques-israeliennes_6613035_3210.html,,,https://img.lemde.fr/2025/06/13/0/0/4597/3065/198/132/95/0/b799d07_upload-1-me0cwu5dwx8c-516432.jpg
8,"Après les violents orages qui ont traversé la France, un homme tué dans les Yvelines, une femme grièvement blessée à Paris",,,https://www.lemonde.fr/climat/article/2025/06/14/orages-en-france-un-homme-meurt-dans-les-yvelines-une-femme-grievement-blessee-a-paris_6613010_1652612.html,,,https://img.lemde.fr/2025/06/13/0/0/2499/1666/198/132/95/0/bcd6db9_ftp-import-images-1-pokxyvnhrnkz-5187625-01-06.jpg
9,"He Lifeng, le discret vice-premier ministre chinois sur le devant de la scène pendant la guerre commerciale avec les Etats-Unis",,,https://www.lemonde.fr/economie/article/2025/06/14/he-lifeng-le-discret-officiel-chinois-qui-veut-faire-plier-l-amerique_6612977_3234.html,is prenium,,https://img.lemde.fr/2025/06/13/0/0/6528/4352/198/132/95/0/6d7ddb4_upload-1-mils4js550tt-505739.jpg
10,Le RN débordé par la parole raciste de ses sympathisants sur Facebook,,,https://www.lemonde.fr/politique/article/2025/06/14/sur-facebook-le-rn-deborde-par-la-parole-raciste-de-ses-sympathisants_6613016_823448.html,is prenium,,https://img.lemde.fr/2025/06/13/0/0/6000/4000/198/132/95/0/90ebbef_upload-1-q1e1yydtacam-cbi1260091.jpg
11,Une centaine de migrants tentant d’atteindre le Royaume-Uni secourus dans la Manche en vingt-quatre heures,,,https://www.lemonde.fr/international/article/2025/06/14/une-centaine-de-migrants-secourus-dans-la-manche-en-vingt-quatre-heures_6613018_3210.html,,,
12,"A voir ce soir : « Civil War », sur Canal+, Kirsten Dunst en journaliste dans une dystopie rattrapée par l’actualité américaine",,,https://www.lemonde.fr/culture/article/2025/06/14/civil-war-sur-canal-kirsten-dunst-en-journaliste-dans-une-dystopie-rattrapee-par-l-actualite-americaine_6613048_3246.html,is prenium,,
13,La « fermeture sauvage » d’une entreprise détenue par un Français au Maroc plonge des dizaines de salariés dans la précarité,,,https://www.lemonde.fr/afrique/article/2025/06/14/au-maroc-la-fermeture-sauvage-d-une-entreprise-detenue-par-un-francais-plonge-des-dizaines-de-salaries-dans-la-precarite_6612991_3212.html,is prenium,,
14,Le ministre de l’intérieur Bruno Retailleau demande aux préfets de renforcer la vigilance en France après les attaques entre Israël et l’Iran,,,https://www.lemonde.fr/societe/article/2025/06/14/bruno-retailleau-renforce-la-securite-en-france-du-fait-de-l-echange-de-frappes-entre-israel-et-l-iran_6613023_3224.html,,,
15,"Marc’O, auteur, metteur en scène et touche-à-tout de la scène artistique, est mort",,,https://www.lemonde.fr/disparitions/article/2025/06/14/marc-o-auteur-metteur-en-scene-et-touche-a-tout-de-la-scene-artistique-est-mort_6613041_3382.html,is prenium,,
16,Un capitaine de l’Ofast à Marseille mis en examen pour trafic de stupéfiants,,,https://www.lemonde.fr/societe/article/2025/06/14/marseille-un-capitaine-de-police-mis-en-examen-pour-trafic-de-stupefiants_6613020_3224.html,,,
17,"Lenine, chanteur et guitariste brésilien : « Le frevo, j’ai baigné dedans »",,,https://www.lemonde.fr/culture/article/2025/06/14/lenine-chanteur-et-guitariste-bresilien-le-frevo-j-ai-baigne-dedans_6613029_3246.html,is prenium,,
18,Neuf idées reçues sur la rénovation énergétique des bâtiments,,,https://www.lemonde.fr/les-decodeurs/article/2022/11/23/passoires-thermiques-fenetres-aides-financieres-neuf-idees-recues-sur-la-renovation-thermique-des-batiments_6151257_4355770.html,,,
